Book Name,Author,Genre,Average Ratings,Total Ratings,Publisher,Stall Number
Prodigal Summer,Barbara Kingsolver,Fiction,4,102010,Riverdale Press,40
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,Nonfiction,3.98,101959,Silverline Publishers,33
Eleven on Top,Janet Evanovich,Mystery,4.16,101920,Velvet Ink Press,34
Losing It,Cora Carmack,Romance,3.74,101598,Magnolia Books,13
The Kiss of Deception,Mary E. Pearson,Fantasy,3.97,101404,Onyx Publishing,33
The Last Anniversary,Liane Moriarty,Fiction,3.76,100588,Sunflower Press,19
Catherine the Great: Portrait of a Woman,Robert K. Massie,History,3.91,100549,Star Light Publishing,9
Rose Madder,Stephen King,Horror,3.72,100419,Marigold Press,40
The Celestine Prophecy,James Redfield,Fiction,3.66,100359,BookTown Coimbatore,18
Warm Bodies,Isaac Marion,Romance,3.92,100201,BookTown Coimbatore,45
The Indian in the Cupboard,Lynne Reid Banks,Fantasy,3.91,100083,Silver Oak Publishing,6
The Time Keeper,Mitch Albom,Fiction,3.87,100075,"Global Reads, Coimbatore",10
The Round House,Louise Erdrich,Fiction,3.95,100016,Crimson Press,2
2nd Chance,James Patterson,Mystery,4.04,99997,Marigold Press,26
The Farthest Shore,Ursula K. Le Guin,Fantasy,4.11,99994,"Urban Leaf Publications, Coimbatore",36
Written in My Own Heart's Blood,Diana Gabaldon,Historical,4.53,99846,Onyx Publishing,14
Hoot,Carl Hiaasen,YoungAdult,3.82,99790,Galaxy Press,8
The Rise of Nine,Pittacus Lore,YoungAdult,4.17,99516,Diamond Press,40
Four Past Midnight,Stephen King,Horror,3.94,99421,BookTown Coimbatore,26
A Wild Sheep Chase,Haruki Murakami,Fiction,3.94,99329,Ruby Editions,46
Dreams of Gods & Monsters,Laini Taylor,Fantasy,4.12,99201,Quartz Books,23
Pines,Blake Crouch,Thriller,3.93,99179,Coimbatore Book House,7
A Connecticut Yankee in King Arthur's Court,Mark Twain,Classics,3.76,98936,Goldleaf Publishers,46
Crossroads of Twilight,Robert Jordan,Fantasy,3.81,98688,Magnolia Books,35
A Canticle for Leibowitz,Walter M. Miller Jr.,ScienceFiction,3.97,98457,Crimson Press,33
Beautiful Chaos,Kami Garcia,Fantasy,3.92,98180,Saffron Reads,7
The Tombs of Atuan,Ursula K. Le Guin,Fantasy,4.08,97723,Opal Book House,17
Absolute Power,David Baldacci,Fiction,4.17,97703,Galaxy Press,37
Ordinary Grace,William Kent Krueger,Fiction,4.22,97450,"Omni Books, Coimbatore",43
Case Histories,Kate Atkinson,Mystery,3.81,97374,Topaz Publishing,27
Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,History,4.02,96744,Topaz Publishing,24
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,Fiction,3.96,96679,Citrine Press,19
Switched,Amanda Hocking,Fantasy,3.87,96460,Ruby Editions,21
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,YoungAdult,4.13,96430,Topaz Publishing,12
Vanishing Acts,Jodi Picoult,Fiction,3.7,96430,Riverdale Press,18
"One Piece, Volume 1: Romance Dawn",Eiichiro Oda,SequentialArt,4.45,96363,Jade Books,15
In the Hand of the Goddess,Tamora Pierce,Fantasy,4.19,96088,Opal Book House,6
The Dispossessed,Ursula K. Le Guin,ScienceFiction,4.2,96025,Jade Books,47
Deadlocked,Charlaine Harris,Fantasy,3.7,95820,Orchid Publications,16
"Saga, Vol. 2",Brian K. Vaughan,SequentialArt,4.51,95724,Riverdale Press,19
This Present Darkness,Frank E. Peretti,ChristianFiction,4.23,95694,Coimbatore Book House,3
The Orphan Master's Son,Adam Johnson,Fiction,4.04,95628,Lotus Book Publishers,37
Unaccustomed Earth,Jhumpa Lahiri,Short Stories,4.13,95327,Pearl Press,29
Death Comes to Pemberley,P.D. James,Mystery,3.3,95080,Coastal Breeze Publishers,29
A Scanner Darkly,Philip K. Dick,ScienceFiction,4,94712,Greenfield Publishing,34
Rule,Jay Crownover,Romance,4.13,94694,NorthStar Books,24
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,Nonfiction,4.37,94349,Coastal Breeze Publishers,27
Shadows of Self,Brandon Sanderson,Fantasy,4.27,93997,Crimson Press,18
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Classics,3.68,93912,Citrine Press,6
This Is How You Lose Her,Junot DAAaz,Fiction,3.75,93785,Emerald Isle Publishers,30
Native Son,Richard Wright,Fiction,3.99,93483,Lotus Pond Press,36
The Intelligent Investor,Benjamin Graham,Economics,4.23,93295,Emerald Literatures,50
The Racketeer,John Grisham,Fiction,3.84,93078,Eastwood Publications,24
The Magician King,Lev Grossman,Fantasy,3.91,92790,Magnolia Books,35
Sideways Stories from Wayside School,Louis Sachar,Childrens,4.14,92764,Galaxy Press,13
Cold Days,Jim Butcher,Fantasy,4.45,91913,Cherry Blossom Books,50
Romancing Mister Bridgerton,Julia Quinn,Romance,4.07,91505,Heritage Publishing,21
The Sword of Shannara,Terry Brooks,Fantasy,3.76,91451,Amber Ink Publishers,21
Song of Solomon,Toni Morrison,Fiction,4.1,91411,"Global Reads, Coimbatore",16
A Tale for the Time Being,Ruth Ozeki,Fiction,4,91406,Cherry Blossom Books,40
Redshirts,John Scalzi,ScienceFiction,3.85,91124,Diamond Press,47
Masquerade,Melissa de la Cruz,YoungAdult,3.89,90968,Galaxy Press,28
The Power of Positive Thinking,Norman Vincent Peale,SelfHelp,4.14,90955,Magnolia Books,37
Abaddon's Gate,James S.A. Corey,ScienceFiction,4.24,90945,Teal Publications,1
Everything's Eventual,Stephen King,Horror,3.97,90851,Citrine Press,47
The Twelve,Justin Cronin,Horror,4.01,90692,Lotus Pond Press,31
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,3.57,90657,Lotus Book Publishers,29
The Age of Miracles,Karen Thompson Walker,Fiction,3.65,90463,Riverdale Press,29
Stormbreaker,Anthony Horowitz,YoungAdult,3.98,89883,Citrine Press,38
Dealing with Dragons,Patricia C. Wrede,Fantasy,4.12,89808,Blue Horizon Publishers,34
The Thief Lord,Cornelia Funke,Fantasy,3.96,89791,Cherry Blossom Books,49
Where We Belong,Emily Giffin,WomensFiction,3.88,89581,Cobalt Blue Books,42
The Hunger Games Tribute Guide,Emily Seife,YoungAdult,4.41,89503,Riverdale Press,24
The 48 Laws of Power,Robert Greene,Nonfiction,4.14,89386,Lotus Pond Press,23
Lioness Rampant,Tamora Pierce,Fantasy,4.23,89029,Magnolia Books,14
The Evolution of Mara Dyer,Michelle Hodkin,YoungAdult,4.25,88959,Crimson Press,35
Old Yeller,Fred Gipson,Classics,4.08,88908,Sunrise Books,16
Magician: Apprentice,Raymond E. Feist,Fantasy,4.14,88842,Coimbatore Press,36
The Lowland,Jhumpa Lahiri,Fiction,3.85,88669,Blue Horizon Publishers,42
The Affair,Lee Child,Thriller,4.1,88058,Greenfield Publishing,49
Son,Lois Lowry,YoungAdult,3.97,87614,Coimbatore Book House,43
The House of the Scorpion,Nancy Farmer,YoungAdult,4.05,87437,Amber Ink Publishers,33
Doctor Zhivago,Boris Pasternak,Classics,4,87410,Riverdale Press,24
Reason to Breathe,Rebecca    Donovan,Romance,4.22,87259,Cobalt Blue Books,18
A Storm of Swords 2: Blood and Gold,George R.R. Martin,Fantasy,4.5,86869,CBE Publishers,6
Flight Behavior,Barbara Kingsolver,Fiction,3.78,86653,"Urban Leaf Publications, Coimbatore",23
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,Nonfiction,4.17,86627,NorthStar Books,22
The Broker,John Grisham,Fiction,3.79,85955,"Global Reads, Coimbatore",27
Hearts in Atlantis,Stephen King,Horror,3.83,85684,Ruby Editions,17
Firefight,Brandon Sanderson,Fantasy,4.26,85505,Ruby Editions,37
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,SelfHelp,3.98,85408,Onyx Publishing,17
The Gift of the Magi,O. Henry,Classics,4.1,85315,Cherry Blossom Books,41
The Boleyn Inheritance,Philippa Gregory,Historical,3.88,84718,Riverbank Books,40
Five Point Someone: What Not to Do at IIT,Chetan Bhagat,Fiction,3.43,84528,Opal Book House,42
Cruel Beauty,Rosamund Hodge,Fantasy,3.69,84295,Velvet Ink Press,14
Purple Hibiscus,Chimamanda Ngozi Adichie,Fiction,4.17,84288,Coimbatore Press,27
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,Language,4.22,84181,CBE Publishers,27
The False Prince,Jennifer A. Nielsen,Fantasy,4.17,84057,Heritage Publishing,11
The Camel Club,David Baldacci,Thriller,4.05,84042,Eastwood Publications,41
A Long Way Down,Nick Hornby,Fiction,3.44,83767,Crimson Press,50
Bring Up the Bodies,Hilary Mantel,Historical,4.23,83558,Goldleaf Publishers,28
State of Fear,Michael Crichton,Fiction,3.71,83352,Fernwood Publishers,5
Never Fade,Alexandra Bracken,ScienceFiction,4.22,83041,Velvet Ink Press,25
The Battle for Skandia,John Flanagan,Fantasy,4.34,82881,"Urban Leaf Publications, Coimbatore",30
The Power of One,Bryce Courtenay,Fiction,4.32,82558,Emerald Literatures,11
Broken Harbor,Tana French,Mystery,3.94,82319,Ruby Editions,26
"Tinker, Tailor, Soldier, Spy",John le CarrAA,Fiction,4.03,81877,Blue Horizon Publishers,14
3rd Degree,James Patterson,Mystery,4.03,81842,Goldleaf Publishers,5
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,Crime,4.11,81765,Silver Oak Publishing,18
The Complete Poems of Emily Dickinson,Emily Dickinson,Poetry,4.23,81737,Coimbatore Book House,33
13 Little Blue Envelopes,Maureen Johnson,YoungAdult,3.63,81637,Silverline Publishers,36
The Time of Contempt,Andrzej Sapkowski,Fantasy,4.19,81219,Onyx Publishing,43
The Laughing Corpse,Laurell K. Hamilton,Fantasy,4.11,80986,Lotus Book Publishers,2
The War of Art: Winning the Inner Creative Battle,Steven Pressfield,Nonfiction,4,80860,CBE Publishers,15
Batman: The Long Halloween,Jeph Loeb,SequentialArt,4.32,80775,Teal Publications,4
Breathe,Abbi Glines,Romance,3.86,80579,Sunrise Books,22
The Last Letter from Your Lover,Jojo Moyes,Romance,3.97,80396,CBE Publishers,15
Dead Ever After,Charlaine Harris,Fantasy,3.48,80310,Goldleaf Publishers,10
The Art Forger,Barbara A. Shapiro,Fiction,3.73,80212,Quartz Books,4
The Fall,Albert Camus,Fiction,4.02,79961,Pearl Press,35
The Sea of Tranquility,Katja Millay,YoungAdult,4.3,79944,Greenfield Publishing,8
Into the Wild,Erin Hunter,Fantasy,4.3,79895,Emerald Literatures,2
"Bone, Vol, 1: Out from Boneville",Jeff Smith,SequentialArt,4.18,79824,Emerald Literatures,21
"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,Nonfiction,4.15,79727,Maple Leaf Books,1
The Kitchen God's Wife,Amy Tan,Fiction,4,79648,Diamond Press,12
At First Sight,Nicholas Sparks,Romance,3.83,79470,Quartz Books,30
The Blinding Knife,Brent Weeks,Fantasy,4.39,79374,Onyx Publishing,22
Wild Magic,Tamora Pierce,Fantasy,4.26,79360,Opal Book House,15
Keeping Faith,Jodi Picoult,Fiction,3.8,79093,Eastwood Publications,37
The Woman Who Rides Like a Man,Tamora Pierce,Fantasy,4.14,79044,Galaxy Press,9
Dragon Rider,Cornelia Funke,Fantasy,3.97,79019,Blue Horizon Publishers,38
Wool,Hugh Howey,ScienceFiction,4.11,78958,Galaxy Press,36
Pollyanna,Eleanor H. Porter,Classics,3.98,78955,"Global Reads, Coimbatore",26
"Sarah, Plain and Tall",Patricia MacLachlan,Historical,3.78,78670,Sunrise Books,49
American Born Chinese,Gene Luen Yang,SequentialArt,3.88,78580,Opal Book House,16
The Third Wheel,Jeff Kinney,Humor,4.22,78428,Emerald Literatures,38
Kushiel's Dart,Jacqueline Carey,Fantasy,3.99,78344,BookTown Coimbatore,20
Have a Little Faith: a True Story,Mitch Albom,Nonfiction,4.17,78110,Heritage Publishing,2
Only Time Will Tell,Jeffrey Archer,Fiction,4.09,77857,Riverbank Books,40
This Man Confessed,Jodi Ellen Malpas,Romance,4.4,77764,Marigold Press,18
The Shoemaker's Wife,Adriana Trigiani,Historical,3.99,77535,Sunflower Press,24
Lover Reborn,J.R. Ward,Fantasy,4.32,77449,Emerald Isle Publishers,29
Destroy Me,Tahereh Mafi,YoungAdult,4.2,77405,Silver Oak Publishing,32
The Bane Chronicles,Cassandra Clare,Fantasy,4.14,77400,Teal Publications,39
On the Island,Tracey Garvis Graves,Romance,4.12,77388,Magnolia Books,36
A Bear Called Paddington,Michael Bond,Childrens,4.22,77342,Coastal Breeze Publishers,10
The Girl of Fire and Thorns,Rae Carson,Fantasy,3.79,77151,Coimbatore Press,1
Sweet Evil,Wendy Higgins,YoungAdult,4.06,76921,Pearl Press,17
The Prayer of Jabez:  Breaking Through to the Blessed Life,Bruce H. Wilkinson,Christian,3.95,76859,Pearl Press,20
Hallowed,Cynthia Hand,YoungAdult,4.07,76726,Cherry Blossom Books,44
The Next Always,Nora Roberts,Romance,4.12,76507,Emerald Isle Publishers,27
Smokin' Seventeen,Janet Evanovich,Mystery,3.96,76396,Sunflower Press,9
Queen of Air and Darkness,Cassandra Clare,Fantasy,4.36,76388,Velvet Ink Press,3
Beautiful Stranger,Christina Lauren,Romance,4.19,75878,Lotus Book Publishers,50
Bad Luck and Trouble,Lee Child,Thriller,4.18,75782,Galaxy Press,7
Release Me,J. Kenner,Romance,4.12,74902,Onyx Publishing,40
Nightmares and Dreamscapes,Stephen King,Horror,3.94,74857,Lotus Pond Press,19
Jack & Jill,James Patterson,Mystery,3.98,74728,Eastwood Publications,31
Salem Falls,Jodi Picoult,Fiction,3.82,74617,Greenfield Publishing,20
The Yiddish Policemen's Union,Michael Chabon,Fiction,3.71,74567,Heritage Publishing,17
Cyrano de Bergerac,Edmond Rostand,Classics,4.06,74368,Onyx Publishing,20
The Regulators,Richard Bachman,Horror,3.71,73905,Marigold Press,27
Beyond Good and Evil,Friedrich Nietzsche,Philosophy,3.99,73551,Magnolia Books,49
This Girl,Colleen Hoover,Romance,4.12,73476,Ruby Editions,26
The Prisoner of Heaven,Carlos Ruiz ZafAA3n,Fiction,4.06,73376,Coral Wave Press,47
Hawaii,James A. Michener,Historical,4.2,73368,Emerald Isle Publishers,40
Forever Odd,Dean Koontz,Horror,3.97,73249,Amber Ink Publishers,28
Dad Is Fat,Jim Gaffigan,Humor,3.75,73231,Maple Leaf Books,41
The Stonekeeper,Kazu Kibuishi,SequentialArt,4.17,73149,"Global Reads, Coimbatore",3
The Body in the Library,Agatha Christie,Mystery,3.86,73091,Riverdale Press,36
The Witch of Portobello,Paulo Coelho,Fiction,3.54,72957,Jade Books,41
A Hunger Like No Other,Kresley Cole,Fantasy,4.13,72539,Marigold Press,43
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,Nonfiction,4.17,72489,Silver Oak Publishing,38
Sula,Toni Morrison,Fiction,3.95,72332,Marigold Press,4
Through the Ever Night,Veronica Rossi,YoungAdult,4.12,72254,Riverdale Press,9
Ten Tiny Breaths,K.A. Tucker,NewAdult,4.12,72214,Heritage Publishing,28
The Friday Night Knitting Club,Kate Jacobs,Fiction,3.43,72211,Lotus Pond Press,50
The Vincent Boys,Abbi Glines,Romance,3.96,72129,"Global Reads, Coimbatore",32
The Luxe,Anna Godbersen,Historical,3.63,72116,Coral Wave Press,41
Six Years,Harlan Coben,Mystery,3.83,71926,Silver Oak Publishing,12
Faith of the Fallen,Terry Goodkind,Fantasy,4.08,71826,Eastwood Publications,12
Explosive Eighteen,Janet Evanovich,Mystery,3.94,71807,Pearl Press,38
The Zahir,Paulo Coelho,Fiction,3.58,71572,Silverline Publishers,5
Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,Christian,3.91,71381,Coral Wave Press,9
The Mighty Storm,Samantha Towle,Romance,4.17,71238,Emerald Literatures,36
The Emperor's Soul,Brandon Sanderson,Fantasy,4.32,71223,"Global Reads, Coimbatore",28
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,Nonfiction,4.28,70965,Maple Leaf Books,3
Opposition,Jennifer L. Armentrout,YoungAdult,4.36,70690,Opal Book House,28
Fragile Things: Short Fictions and Wonders,Neil Gaiman,Fantasy,3.93,70690,NorthStar Books,2
Magician: Master,Raymond E. Feist,Fantasy,4.22,70527,Pearl Press,2
The Art of Hearing Heartbeats,Jan-Philipp Sendker,Fiction,4.01,70494,Blue Horizon Publishers,38
Terrier,Tamora Pierce,Fantasy,4.09,70388,Riverbank Books,26
The Immortal Rules,Julie Kagawa,Paranormal,4.05,70333,Quartz Books,49
Blueberries for Sal,Robert McCloskey,Childrens,4.19,70041,Coral Wave Press,16
The Bachman Books,Richard Bachman,Horror,4.12,70026,Fernwood Publishers,30
Mile High,R.K. Lilley,Romance,4.2,69951,NorthStar Books,25
Zero Day,David Baldacci,Thriller,4.02,69860,Quartz Books,12
The Secret of Ella and Micha,Jessica Sorensen,NewAdult,4,69805,Lotus Book Publishers,35
Into the Darkest Corner,Elizabeth Haynes,Thriller,4.08,69795,Blue Horizon Publishers,10
The Icebound Land,John Flanagan,Fantasy,4.24,69720,Ruby Editions,50
The Keeper of Lost Causes,Jussi Adler-Olsen,Mystery,3.99,69661,Coimbatore Book House,50
Lisey's Story,Stephen King,Horror,3.68,69634,Citrine Press,15
Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,Fantasy,4.01,69568,Magnolia Books,27
The Dovekeepers,Alice Hoffman,Historical,4.05,69557,Marigold Press,18
The Sweet Far Thing,Libba Bray,Fantasy,3.95,69516,Teal Publications,46
American Pastoral,Philip Roth,Fiction,3.92,69220,Saffron Reads,9
The Wind Through the Keyhole,Stephen King,Fantasy,4.15,69044,Ruby Editions,38
A Wanted Man,Lee Child,Thriller,4.03,68625,Coral Wave Press,30
The Aviator's Wife,Melanie Benjamin,Historical,3.9,68426,Maple Leaf Books,2
MaddAddam,Margaret Atwood,Fiction,3.99,68247,Riverdale Press,6
Blue Dahlia,Nora Roberts,Romance,4.12,68076,Amber Ink Publishers,25
Stories I Only Tell My Friends,Rob Lowe,Nonfiction,3.8,68049,Velvet Ink Press,43
Mystery Man,Kristen Ashley,Romance,4.22,67656,Saffron Reads,19
Barely Breathing,Rebecca    Donovan,Romance,4.31,67448,Indigo Bookworks,3
Captive in the Dark,C.J. Roberts,Dark,3.97,67426,Fernwood Publishers,15
You Can Heal Your Life,Louise L. Hay,SelfHelp,4.15,67382,Eastwood Publications,17
These Broken Stars,Amie Kaufman,YoungAdult,3.89,67156,CBE Publishers,23
Academ's Fury,Jim Butcher,Fantasy,4.23,67055,Saffron Reads,13
Fly Away,Kristin Hannah,Fiction,3.97,67049,Opal Book House,19
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,Romance,3.9,66897,Mountain View Publishers,2
"To Sir Phillip, With Love",Julia Quinn,Romance,3.85,66718,Lotus Pond Press,46
Perfect Match,Jodi Picoult,Fiction,3.95,66609,Emerald Isle Publishers,20
Magic Hour,Kristin Hannah,Fiction,4.12,66505,Heritage Publishing,36
The Six Wives of Henry VIII,Alison Weir,History,4.08,66352,Diamond Press,31
The Bone Season,Samantha Shannon,Fantasy,3.77,66330,BookTown Coimbatore,23
Frost Burned,Patricia Briggs,Fantasy,4.34,66100,"Global Reads, Coimbatore",11
The Litigators,John Grisham,Fiction,3.82,65958,Emerald Isle Publishers,23
Home Front,Kristin Hannah,Fiction,4.13,65882,Sunrise Books,28
Torn,Amanda Hocking,Fantasy,4.04,65818,CBE Publishers,43
Down to You,Michelle Leighton,Romance,4.04,65789,Citrine Press,50
The Iliad/The Odyssey,Homer,Classics,4.05,65654,Riverbank Books,4
Making Money,Terry Pratchett,Fantasy,4.2,65647,Indigo Bookworks,43
Keeping the Moon,Sarah Dessen,YoungAdult,3.84,65407,Star Light Publishing,19
Tenth of December,George Saunders,ShortStories,3.95,65209,Maple Leaf Books,13
Calamity,Brandon Sanderson,Fantasy,4.19,65184,Coral Wave Press,2
Lover at Last,J.R. Ward,Fantasy,4.29,65170,Jade Books,28
Seed of Destruction,Mike Mignola,SequentialArt,4.13,65111,Ruby Editions,24
Emperor Mage,Tamora Pierce,Fantasy,4.21,65091,Fernwood Publishers,21
The Humans,Matt Haig,ScienceFiction,4.08,65052,Marigold Press,13
A Darkness At Sethanon,Raymond E. Feist,Fantasy,4.15,65043,Velvet Ink Press,34
The Mote in God's Eye,Larry Niven,ScienceFiction,4.07,65021,Sunrise Books,5
The Testing,Joelle Charbonneau,ScienceFiction,4.03,64938,CBE Publishers,27
The Sneetches and Other Stories,Dr. Seuss,Childrens,4.3,64680,BookTown Coimbatore,12
Notorious Nineteen,Janet Evanovich,Mystery,3.94,64552,"Urban Leaf Publications, Coimbatore",2
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,History,4.12,64551,Coral Wave Press,32
Counting by 7s,Holly Goldberg Sloan,YoungAdult,4.16,64504,Ruby Editions,36
Never Go Back,Lee Child,Thriller,4.05,64279,Ruby Editions,16
Brother Odd,Dean Koontz,Horror,3.99,64114,Opal Book House,15
Oranges Are Not the Only Fruit,Jeanette Winterson,Fiction,3.73,64100,Marigold Press,45
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt,Nonfiction,3.66,64018,Indigo Bookworks,35
If Tomorrow Comes,Sidney Sheldon,Fiction,4.05,63805,Topaz Publishing,2
Devil in Winter,Lisa Kleypas,Romance,4.24,63762,Silverline Publishers,21
The Coldest Girl in Coldtown,Holly Black,YoungAdult,3.83,63405,"Global Reads, Coimbatore",22
The Life and Times of the Thunderbolt Kid,Bill Bryson,Nonfiction,3.91,62524,Velvet Ink Press,30
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,Nonfiction,3.98,62491,Magnolia Books,12
Geek Love,Katherine Dunn,Fiction,3.94,62488,Goldleaf Publishers,1
Perfection,R.L. Mathewson,Romance,4.14,62433,"Global Reads, Coimbatore",44
Love Does: Discover a Secretly Incredible Life in an Ordinary World,Bob Goff,Christian,4.3,62427,Coastal Breeze Publishers,4
The Last Star,Rick Yancey,YoungAdult,3.63,62422,Coimbatore Book House,3
The Watsons Go to Birmingham - 1963,Christopher Paul Curtis,Historical,3.97,62006,BookTown Coimbatore,50
The Liars' Club,Mary Karr,Autobiography,3.93,61837,Opal Book House,29
Who's Afraid of Virginia Woolf?,Edward Albee,Plays,4.08,61821,Cherry Blossom Books,32
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,Business,4.06,61798,Lotus Book Publishers,31
Pop Goes the Weasel,James Patterson,Mystery,4.01,61738,Star Light Publishing,23
"Faust, First Part",Johann Wolfgang von Goethe,Classics,3.92,61658,Coimbatore Press,9
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Fantasy,4.62,61649,Teal Publications,30
First Test,Tamora Pierce,Fantasy,4.17,61518,Greenfield Publishing,34
Cross,James Patterson,Mystery,4.01,61415,Silverline Publishers,14
When He Was Wicked,Julia Quinn,Romance,4.03,61303,"Urban Leaf Publications, Coimbatore",47
Theft of Swords,Michael J. Sullivan,Fantasy,4.18,60842,Onyx Publishing,21
Feed,M.T. Anderson,YoungAdult,3.55,60787,NorthStar Books,46
The Sorcerer of the North,John Flanagan,Fantasy,4.27,60660,Pearl Press,20
Ascend,Amanda Hocking,Fantasy,4.08,60365,Heritage Publishing,13
Daughter of the Forest,Juliet Marillier,Fantasy,4.23,60315,Galaxy Press,10
The Red and the Black,Stendhal,Classics,3.88,60222,Coral Wave Press,50
Musicophilia: Tales of Music and the Brain,Oliver Sacks,Nonfiction,3.93,60211,"Global Reads, Coimbatore",20
The 6th Target,James Patterson,Mystery,4.04,60158,Lotus Pond Press,8
The Gambler,Fyodor Dostoyevsky,Classics,3.9,60042,Galaxy Press,39
"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles,Classics,3.98,59909,"Urban Leaf Publications, Coimbatore",39
The Fall of Five,Pittacus Lore,YoungAdult,4.23,59836,Cobalt Blue Books,25
March,Geraldine Brooks,Historical,3.74,59818,Diamond Press,10
The Hit,David Baldacci,Thriller,4.11,59716,Star Light Publishing,25
The Hotel New Hampshire,John Irving,Fiction,3.91,59643,Greenfield Publishing,18
The Silver Star,Jeannette Walls,Fiction,3.72,59361,Opal Book House,40
The Chaperone,Laura Moriarty,Historical,3.86,59245,Orchid Publications,20
The Art of Loving,Erich Fromm,Psychology,4.01,58996,Greenfield Publishing,36
Son of a Witch,Gregory Maguire,Fantasy,3.48,58878,Sunflower Press,34
Pigs in Heaven,Barbara Kingsolver,Fiction,3.96,58815,Quartz Books,13
The Satanic Verses,Salman Rushdie,Fiction,3.7,58727,Coimbatore Press,14
Anybody Out There?,Marian Keyes,WomensFiction,3.92,58589,Coimbatore Book House,21
Wayside School Is Falling Down,Louis Sachar,Childrens,4.15,58572,Coimbatore Book House,38
The Lost World,Arthur Conan Doyle,Classics,3.93,58521,Riverbank Books,46
Awake at Dawn,C.C. Hunter,YoungAdult,4.25,58422,"Omni Books, Coimbatore",47
Scary Stories to Tell in the Dark,Alvin Schwartz,Horror,4.04,58347,Lotus Book Publishers,5
Light in August,William Faulkner,Fiction,3.92,58270,Coimbatore Book House,9
Fox in Socks,Dr. Seuss,Childrens,4.07,58234,Fernwood Publishers,28
Partials,Dan Wells,YoungAdult,3.92,58233,Indigo Bookworks,38
The House Girl,Tara Conklin,Historical,3.76,58206,Riverbank Books,10
"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,Fiction,3.1,58107,Indigo Bookworks,17
Psycho,Robert Bloch,Horror,4.1,57810,Citrine Press,35
Mastering the Art of French Cooking,Julia Child,FoodAndDrink,4.18,57735,Silverline Publishers,12
Silverthorn,Raymond E. Feist,Fantasy,4.08,57560,NorthStar Books,19
King of Thorns,Mark  Lawrence,Fantasy,4.2,57494,Coral Wave Press,27
The Bride,Julie Garwood,Romance,4.24,57484,Pearl Press,47
Swan Song,Robert R. McCammon,Horror,4.28,57450,Magnolia Books,33
Flat-Out Love,Jessica Park,Romance,4,57448,Blue Horizon Publishers,46
The Burgess Boys,Elizabeth Strout,Fiction,3.58,57442,Pearl Press,35
The Odessa File,Frederick Forsyth,Fiction,4.12,57286,Indigo Bookworks,29
Secrets of a Summer Night,Lisa Kleypas,Romance,4.05,57253,Teal Publications,10
How the Light Gets In,Louise Penny,Mystery,4.44,57188,Silverline Publishers,43
Go Tell It on the Mountain,James Baldwin,Fiction,4.01,57149,Lotus Pond Press,49
The Drop,Michael Connelly,Mystery,4.17,57076,Blue Horizon Publishers,45
Goodnight Nobody,Jennifer Weiner,WomensFiction,3.65,56991,"Omni Books, Coimbatore",45
Falling Kingdoms,Morgan Rhodes,Fantasy,3.78,56921,Goldleaf Publishers,17
Splintered,A.G. Howard,Fantasy,3.91,56673,Emerald Literatures,9
A Christmas Carol / The Chimes / The Cricket on the Hearth,Charles Dickens,Classics,4.13,56665,NorthStar Books,6
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,Nonfiction,4.03,56498,NorthStar Books,16
Why We Broke Up,Daniel Handler,YoungAdult,3.48,56415,Eastwood Publications,22
A Shade of Vampire,Bella Forrest,Paranormal,3.84,56408,Teal Publications,21
Unbelievable,Sara Shepard,YoungAdult,4.03,56331,Blue Horizon Publishers,50
Dark Witch,Nora Roberts,Romance,3.94,56326,Jade Books,48
